Training Parameters: hidden_dims=[1000], latent_dim=50, num_epochs=50, batch_size=2000, learning_rate=0.0003, regularization_weight=0.001
Epoch 1, Loss: 0.037696819185359574, Duration: 4.29 seconds
Epoch 2, Loss: 0.007119096074211537, Duration: 3.66 seconds
Epoch 3, Loss: 0.005751676912174298, Duration: 3.46 seconds
Epoch 4, Loss: 0.0051351170883807565, Duration: 3.45 seconds
Epoch 5, Loss: 0.00641614022412378, Duration: 3.63 seconds
Epoch 6, Loss: 0.005198941804859523, Duration: 3.66 seconds
Epoch 7, Loss: 0.005149630245210002, Duration: 3.76 seconds
Epoch 8, Loss: 0.005161103022663052, Duration: 3.58 seconds
Epoch 9, Loss: 0.00506249544467203, Duration: 3.46 seconds
Epoch 10, Loss: 0.004434858461998078, Duration: 3.42 seconds
Epoch 11, Loss: 0.004575985763661801, Duration: 3.47 seconds
Epoch 12, Loss: 0.004037138920399958, Duration: 3.47 seconds
Epoch 13, Loss: 0.0045490573925090405, Duration: 3.43 seconds
Epoch 14, Loss: 0.004131250921650564, Duration: 3.48 seconds
Epoch 15, Loss: 0.004115980456694807, Duration: 3.48 seconds
Epoch 16, Loss: 0.004527379774049787, Duration: 3.50 seconds
Epoch 17, Loss: 0.003849431042273011, Duration: 3.37 seconds
Epoch 18, Loss: 0.0037880757051974166, Duration: 3.55 seconds
Epoch 19, Loss: 0.004368811390976232, Duration: 3.61 seconds
Epoch 20, Loss: 0.0037417163981131357, Duration: 3.40 seconds
Epoch 21, Loss: 0.0036709495290119854, Duration: 3.42 seconds
Epoch 22, Loss: 0.0037526458104189435, Duration: 3.64 seconds
Epoch 23, Loss: 0.0036385455293857978, Duration: 3.74 seconds
Epoch 24, Loss: 0.0038462848690643007, Duration: 3.78 seconds
Epoch 25, Loss: 0.0035407356869065396, Duration: 3.72 seconds
Epoch 26, Loss: 0.003544759129901409, Duration: 3.73 seconds
Epoch 27, Loss: 0.0036762016101046483, Duration: 3.65 seconds
Epoch 28, Loss: 0.003545648056957123, Duration: 3.73 seconds
Epoch 29, Loss: 0.003681028722837642, Duration: 3.84 seconds
Epoch 30, Loss: 0.003388515275195483, Duration: 3.66 seconds
Epoch 31, Loss: 0.0036781557298643645, Duration: 3.50 seconds
Epoch 32, Loss: 0.0036381308742278774, Duration: 3.61 seconds
Epoch 33, Loss: 0.003688718478507093, Duration: 3.72 seconds
Epoch 34, Loss: 0.0035502265382436056, Duration: 3.63 seconds
Epoch 35, Loss: 0.0036189949306672593, Duration: 3.54 seconds
Epoch 36, Loss: 0.0035001986098328413, Duration: 3.61 seconds
Epoch 37, Loss: 0.003266412510309553, Duration: 3.66 seconds
Epoch 38, Loss: 0.0032853161860609244, Duration: 3.71 seconds
Epoch 39, Loss: 0.0034379537102965352, Duration: 3.57 seconds
Epoch 40, Loss: 0.0033416840296052836, Duration: 3.75 seconds
Epoch 41, Loss: 0.0034047123211036834, Duration: 3.61 seconds
Epoch 42, Loss: 0.0035110689711195134, Duration: 3.64 seconds
Epoch 43, Loss: 0.0034032552154628073, Duration: 3.48 seconds
Epoch 44, Loss: 0.0033610061214029473, Duration: 3.72 seconds
Epoch 45, Loss: 0.0032773622488405075, Duration: 3.71 seconds
Epoch 46, Loss: 0.0034497851648680215, Duration: 3.69 seconds
Epoch 47, Loss: 0.0033624570487163865, Duration: 3.61 seconds
Epoch 48, Loss: 0.003426835097734285, Duration: 3.58 seconds
Epoch 49, Loss: 0.003108585373827816, Duration: 3.67 seconds
Epoch 50, Loss: 0.003357187647099245, Duration: 3.62 seconds
